"Story","Title","Result","Date","Stability","Duration (s)"
"Change Employee Name in a Purchase Order","Change employee name in an existing purchase order","SUCCESS","2023-11-29T18:18:15.7673476-05:00[America/Bogota]","0.0","59.04"
"Login Serenity","Login successfully in Serenity","SUCCESS","2023-11-29T18:53:37.6005471-05:00[America/Bogota]","0.0","44.63"
